district_name,school_name,level,street_address,city,state,zip,latitude,longitude,charter
BROWARD     ,FALCON COVE MIDDLE SCHOOL                                                                           ,middle,4251 BONAVENTURE BLVD                                                           ,WESTON              ,FL,33332-2114,26.0634,-80.39618,False
BROWARD     ,CYPRESS BAY HIGH SCHOOL                                                                             ,high,18600 VISTA PARK BLVD                                                           ,WESTON              ,FL,33332-2113,26.06551,-80.39752,False
BROWARD     ,PARKSIDE ELEMENTARY SCHOOL                                                                          ,elementary,10257 NW 29TH ST                                                                ,CORAL SPRINGS       ,FL,33065-3904,26.26784,-80.26294,False
BROWARD     ,GATOR RUN ELEMENTARY SCHOOL                                                                         ,elementary,1101 GLADES PKWY                                                                ,WESTON              ,FL,33327-1860,26.12759,-80.4191,False
BROWARD     ,DAVE THOMAS EDUCATION CENTER WEST                                                                   ,"elementary, middle, high",4690 COCONUT CREEK PKWY                                                         ,COCONUT CREEK       ,FL,33063-3902,26.24385,-80.18883,False
BROWARD     ,SUNSET LAKES ELEMENTARY SCHOOL                                                                      ,elementary,18400 SW 25TH ST                                                                ,MIRAMAR             ,FL,33029-2539,26.02924,-80.14098,False
BROWARD     ,ROCK ISLAND ELEMENTARY SCHOOL                                                                       ,elementary,2350 NW 19TH ST                                                                 ,FORT LAUDERDALE     ,FL,33311-3419,26.14997,-80.17235,False
BROWARD     ,EVERGLADES HIGH SCHOOL                                                                              ,high,17100 SW 48TH CT                                                                ,MIRAMAR             ,FL,33027-4998,25.96896,-80.37332,False
BROWARD     ,COCONUT PALM ELEMENTARY SCHOOL                                                                      ,elementary,13601 MONARCH LAKES BLVD                                                        ,MIRAMAR             ,FL,33027-3985,25.98627,-80.329,False
BROWARD     ,DOLPHIN BAY ELEMENTARY SCHOOL                                                                       ,elementary,16450 MIRAMAR PKWY                                                              ,MIRAMAR             ,FL,33027-4584,25.97732,-80.36648,False
BROWARD     ,PARK LAKES ELEMENTARY SCHOOL                                                                        ,elementary,3925 N STATE ROAD 7                                                             ,LAUDERDALE LAKES    ,FL,33319-4831,26.17404,-80.20427,False
BROWARD     ,CHALLENGER ELEMENTARY SCHOOL                                                                        ,elementary,5703 NW 94TH AVE                                                                ,TAMARAC             ,FL,33321-4125,26.19471,-80.27701,False
BROWARD     ,PARK TRAILS ELEMENTARY SCHOOL                                                                       ,elementary,10700 TRAILS END                                                                ,PARKLAND            ,FL,33076-4400,26.31876,-80.2696,False
BROWARD     ,LIBERTY ELEMENTARY SCHOOL                                                                           ,elementary,2450 BANKS RD                                                                   ,MARGATE             ,FL,33063-7772,26.25868,-80.19363,False
BROWARD     ,MANATEE BAY ELEMENTARY SCHOOL                                                                       ,elementary,19200 MANATEE ISLES DR                                                          ,WESTON              ,FL,33332-2151,26.07434,-80.40283,False
BROWARD     ,COLLEGE ACADEMY AT BROWARD COLLEGE                                                                  ,high,3501 DAVIE RD                                                                   ,DAVIE               ,FL,33314-1604,26.07921,-80.23403,False
BROWARD     ,CORAL GLADES HIGH SCHOOL                                                                            ,high,2700 SPORTSPLEX DR                                                              ,CORAL SPRINGS       ,FL,33065-7508,26.26348,-80.29482,False
BROWARD     ,WESTGLADES MIDDLE SCHOOL                                                                            ,middle,11000 HOLMBERG RD                                                               ,CORAL SPRINGS       ,FL,33076-1666,26.30461,-80.27333,False
BROWARD     ,NEW RENAISSANCE MIDDLE SCHOOL                                                                       ,middle,10701 MIRAMAR BLVD                                                              ,MIRAMAR             ,FL,33025-6549,25.988,-80.28847,False
BROWARD     ,HERON HEIGHTS ELEMENTARY SCHOOL                                                                     ,elementary,11010 NOB HILL RD                                                               ,PARKLAND            ,FL,33076-4809,26.32575,-80.27347,False
BROWARD     ,DISCOVERY ELEMENTARY SCHOOL                                                                         ,elementary,8800 NW 54TH CT                                                                 ,SUNRISE             ,FL,33351-7805,26.19222,-80.2693,False
BROWARD     ,WEST BROWARD HIGH SCHOOL                                                                            ,high,500 NW 209TH AVE                                                                ,PEMBROKE PINES      ,FL,33029-2105,26.01214,-80.43036,False
BROWARD     ,MILLENNIUM 6-12 COLLEGIATE ACADEMY                                                                  ,"middle, high",5803 NW 94TH AVE                                                                ,TAMARAC             ,FL,33321-4101,26.19669,-80.27795,False
BROWARD     ,BEN GAMLA CHARTER SCHOOL NORTH CAMPUS                                                               ,"elementary, middle",2620 HOLLYWOOD BLVD                                                             ,HOLLYWOOD           ,FL,33020-4807,26.01,-80.15991,True
BROWARD     ,SOMERSET ACADEMY VILLAGE CHARTER MIDDLE SCHOOL                                                      ,middle,225 NW 29TH ST                                                                  ,WILTON MANORS       ,FL,33311-2427,26.16316,-80.14822,True
