,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between
516,105,697,elementary,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,EASTSIDE ELEMENTARY SCHOOL                                                                          ,COLUMBIA    ,33.1200906143
517,105,696,elementary,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,MELROSE PARK ELEMENTARY SCHOOL                                                                      ,COLUMBIA    ,34.0900795969
518,105,708,elementary,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,34.315900720900004
519,108,697,elementary,LAWTEY ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,EASTSIDE ELEMENTARY SCHOOL                                                                          ,COLUMBIA    ,33.3717741694
520,108,696,elementary,LAWTEY ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,MELROSE PARK ELEMENTARY SCHOOL                                                                      ,COLUMBIA    ,34.4230423474
521,108,702,elementary,LAWTEY ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,NIBLACK ELEMENTARY SCHOOL                                                                           ,COLUMBIA    ,34.9600796995
522,109,699,elementary,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,FORT WHITE ELEMENTARY SCHOOL                                                                        ,COLUMBIA    ,23.169061334400002
523,109,708,elementary,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,24.4376074781
524,109,705,elementary,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,COLUMBIA CITY ELEMENTARY SCHOOL                                                                     ,COLUMBIA    ,25.647749533000002
525,104,694,high,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,COLUMBIA HIGH SCHOOL                                                                                ,COLUMBIA    ,34.425299108699996
526,104,708,high,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,35.0994082812
527,110,695,middle,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,RICHARDSON SIXTH GRADE ACADEMY                                                                      ,COLUMBIA    ,34.598023792199996
528,110,708,middle,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,34.7636214135
529,106,3778,elementary,SOUTHSIDE ELEMENTARY SCHOOL                                                                         ,BRADFORD    ,DEAF ELEMENTARY SCHOOL (FSDB)                                                                       ,DEAF/BLIND  ,47.106903853999995
530,106,3781,elementary,SOUTHSIDE ELEMENTARY SCHOOL                                                                         ,BRADFORD    ,BLIND PK-8 SCHOOL (FSDB)                                                                            ,DEAF/BLIND  ,47.106903853999995
