,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between
0,13,60,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,38.9544553706
1,13,58,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,39.7260402435
2,13,57,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,40.1121119392
3,39,60,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,39.936096185100006
4,39,58,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,40.6840042553
5,39,57,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,41.061815905900005
6,47,60,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,37.024529995500004
7,47,58,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,37.762599471
8,47,57,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,38.1383480368
9,18,55,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,BAKER COUNTY SENIOR HIGH SCHOOL                                                                     ,BAKER       ,39.4935797354
10,51,55,high,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL                                                         ,ALACHUA     ,BAKER COUNTY SENIOR HIGH SCHOOL                                                                     ,BAKER       ,43.3467888198
11,16,59,middle,A. L. MEBANE MIDDLE SCHOOL                                                                          ,ALACHUA     ,BAKER COUNTY MIDDLE SCHOOL                                                                          ,BAKER       ,39.4008521553
12,52,59,middle,ALACHUA LEARNING ACADEMY MIDDLE                                                                     ,ALACHUA     ,BAKER COUNTY MIDDLE SCHOOL                                                                          ,BAKER       ,37.9538262138
13,13,109,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,11.7193796492
14,13,111,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,22.3373258822
15,13,105,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,24.6871219002
16,39,109,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,12.395182308199999
17,39,111,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,22.6473132643
18,39,105,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,25.2235830969
19,47,109,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,9.63172721301
20,47,111,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,20.4408139811
21,47,105,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,22.636960681199998
22,24,104,high,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,22.869171720500002
23,25,104,high,EASTSIDE HIGH SCHOOL                                                                                ,ALACHUA     ,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,23.3987241292
24,24,110,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,22.739950964699997
25,54,110,middle,RESILIENCE CHARTER SCHOOL INC                                                                       ,ALACHUA     ,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,22.8787233432
26,14,579,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,CITRUS SPRINGS ELEMENTARY SCHOOL                                                                    ,CITRUS      ,37.180249669
27,14,568,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,CENTRAL RIDGE ELEMENTARY SCHOOL                                                                     ,CITRUS      ,37.9504123583
28,14,565,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,FOREST RIDGE ELEMENTARY SCHOOL                                                                      ,CITRUS      ,42.6437679184
29,43,568,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,CENTRAL RIDGE ELEMENTARY SCHOOL                                                                     ,CITRUS      ,37.637617377199994
30,43,579,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,CITRUS SPRINGS ELEMENTARY SCHOOL                                                                    ,CITRUS      ,38.1462108179
31,43,578,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,HERNANDO ELEMENTARY SCHOOL                                                                          ,CITRUS      ,42.2703384213
32,45,579,elementary,"THE EINSTEIN SCHOOL, INC.                                                                           ",ALACHUA     ,CITRUS SPRINGS ELEMENTARY SCHOOL                                                                    ,CITRUS      ,43.503324411
33,45,568,elementary,"THE EINSTEIN SCHOOL, INC.                                                                           ",ALACHUA     ,CENTRAL RIDGE ELEMENTARY SCHOOL                                                                     ,CITRUS      ,43.685034777700004
34,45,565,elementary,"THE EINSTEIN SCHOOL, INC.                                                                           ",ALACHUA     ,FOREST RIDGE ELEMENTARY SCHOOL                                                                      ,CITRUS      ,48.469124497299994
35,48,574,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,CRYSTAL RIVER HIGH SCHOOL                                                                           ,CITRUS      ,45.0374486233
36,48,566,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,CITRUS HIGH SCHOOL                                                                                  ,CITRUS      ,46.62247953
37,32,582,middle,KANAPAHA MIDDLE SCHOOL                                                                              ,ALACHUA     ,CITRUS SPRINGS MIDDLE SCHOOL                                                                        ,CITRUS      ,43.7040724145
38,32,572,middle,KANAPAHA MIDDLE SCHOOL                                                                              ,ALACHUA     ,CRYSTAL RIVER MIDDLE SCHOOL                                                                         ,CITRUS      ,49.6629359013
39,48,582,middle,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,CITRUS SPRINGS MIDDLE SCHOOL                                                                        ,CITRUS      ,37.9568783667
40,48,572,middle,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,CRYSTAL RIVER MIDDLE SCHOOL                                                                         ,CITRUS      ,45.5868856362
41,4,596,elementary,LAKE FOREST ELEMENTARY SCHOOL                                                                       ,ALACHUA     ,KEYSTONE HEIGHTS ELEMENTARY                                                                         ,CLAY        ,16.7241172026
42,4,614,elementary,LAKE FOREST ELEMENTARY SCHOOL                                                                       ,ALACHUA     ,MCRAE ELEMENTARY SCHOOL                                                                             ,CLAY        ,23.754567371300002
43,4,612,elementary,LAKE FOREST ELEMENTARY SCHOOL                                                                       ,ALACHUA     ,J.L. WILKINSON ELEMENTARY SCHOOL                                                                    ,CLAY        ,35.8334062913
44,19,596,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,KEYSTONE HEIGHTS ELEMENTARY                                                                         ,CLAY        ,13.165972833800001
45,19,614,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,MCRAE ELEMENTARY SCHOOL                                                                             ,CLAY        ,18.303193641900002
46,19,624,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,SHADOWLAWN ELEMENTARY SCHOOL                                                                        ,CLAY        ,33.1354004044
47,24,596,elementary,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,KEYSTONE HEIGHTS ELEMENTARY                                                                         ,CLAY        ,17.2016640835
48,24,614,elementary,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,MCRAE ELEMENTARY SCHOOL                                                                             ,CLAY        ,24.278070741399997
49,24,612,elementary,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,J.L. WILKINSON ELEMENTARY SCHOOL                                                                    ,CLAY        ,35.8561564394
50,15,597,high,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,ALACHUA     ,KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH                                                                 ,CLAY        ,13.4230192251
51,15,586,high,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,ALACHUA     ,FLORIDA YOUTH CHALLENGE ACADEMY                                                                     ,CLAY        ,27.609515944800002
52,25,597,high,EASTSIDE HIGH SCHOOL                                                                                ,ALACHUA     ,KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH                                                                 ,CLAY        ,16.7562315254
53,25,586,high,EASTSIDE HIGH SCHOOL                                                                                ,ALACHUA     ,FLORIDA YOUTH CHALLENGE ACADEMY                                                                     ,CLAY        ,28.9909975027
54,24,603,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,WILKINSON JUNIOR HIGH SCHOOL                                                                        ,CLAY        ,35.8521617725
55,24,611,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,LAKE ASBURY JUNIOR HIGH SCHOOL                                                                      ,CLAY        ,39.358530593699996
56,54,603,middle,RESILIENCE CHARTER SCHOOL INC                                                                       ,ALACHUA     ,WILKINSON JUNIOR HIGH SCHOOL                                                                        ,CLAY        ,36.222399609899995
57,54,611,middle,RESILIENCE CHARTER SCHOOL INC                                                                       ,ALACHUA     ,LAKE ASBURY JUNIOR HIGH SCHOOL                                                                      ,CLAY        ,40.1078039348
58,13,699,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,FORT WHITE ELEMENTARY SCHOOL                                                                        ,COLUMBIA    ,16.04139503
59,13,708,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,22.1468600902
60,13,705,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,COLUMBIA CITY ELEMENTARY SCHOOL                                                                     ,COLUMBIA    ,23.1346949534
61,27,699,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,FORT WHITE ELEMENTARY SCHOOL                                                                        ,COLUMBIA    ,9.73042383878
62,27,708,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,17.2862821998
63,27,705,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,COLUMBIA CITY ELEMENTARY SCHOOL                                                                     ,COLUMBIA    ,18.1034373925
64,39,699,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,FORT WHITE ELEMENTARY SCHOOL                                                                        ,COLUMBIA    ,16.6772799638
65,39,708,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,23.1106446616
66,39,705,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,COLUMBIA CITY ELEMENTARY SCHOOL                                                                     ,COLUMBIA    ,24.079789689899997
67,17,700,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,FORT WHITE HIGH SCHOOL                                                                              ,COLUMBIA    ,20.6728735396
68,17,708,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,29.883429435
69,18,700,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,FORT WHITE HIGH SCHOOL                                                                              ,COLUMBIA    ,14.113713756600001
70,18,708,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,20.5177298562
71,16,708,middle,A. L. MEBANE MIDDLE SCHOOL                                                                          ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,21.565386424
72,16,695,middle,A. L. MEBANE MIDDLE SCHOOL                                                                          ,ALACHUA     ,RICHARDSON SIXTH GRADE ACADEMY                                                                      ,COLUMBIA    ,27.152434967199998
73,27,708,middle,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,BELMONT ACADEMY                                                                                     ,COLUMBIA    ,17.2862821998
74,27,704,middle,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,LAKE CITY MIDDLE SCHOOL                                                                             ,COLUMBIA    ,23.993529446500002
75,14,1218,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,OLD TOWN ELEMENTARY SCHOOL                                                                          ,DIXIE       ,27.883687655
76,14,1219,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,KINDER CUB SCHOOL INC                                                                               ,DIXIE       ,37.1156219816
77,14,1220,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,JAMES M. ANDERSON ELEMENTARY SCHOOL                                                                 ,DIXIE       ,37.2849574692
78,27,1218,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,OLD TOWN ELEMENTARY SCHOOL                                                                          ,DIXIE       ,28.651589234
79,27,1219,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,KINDER CUB SCHOOL INC                                                                               ,DIXIE       ,34.7557284304
80,27,1222,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,DIXIE TEEN PARENT PRESCHOOL                                                                         ,DIXIE       ,35.3069057496
81,36,1218,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,OLD TOWN ELEMENTARY SCHOOL                                                                          ,DIXIE       ,22.1658839222
82,36,1219,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,KINDER CUB SCHOOL INC                                                                               ,DIXIE       ,30.701220563899998
83,36,1220,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,JAMES M. ANDERSON ELEMENTARY SCHOOL                                                                 ,DIXIE       ,31.1110976635
84,17,1217,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,DIXIE COUNTY HIGH SCHOOL                                                                            ,DIXIE       ,29.649618768000003
85,18,1217,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,DIXIE COUNTY HIGH SCHOOL                                                                            ,DIXIE       ,37.2303567836
86,27,1221,middle,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,RUTH RAINS MIDDLE SCHOOL                                                                            ,DIXIE       ,35.6143809192
87,40,1221,middle,OAK VIEW MIDDLE SCHOOL                                                                              ,ALACHUA     ,RUTH RAINS MIDDLE SCHOOL                                                                            ,DIXIE       ,31.5908908037
88,19,1379,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,ENTERPRISE LEARNING ACADEMY                                                                         ,DUVAL       ,44.779213477
89,19,1356,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,CHIMNEY LAKES ELEMENTARY SCHOOL                                                                     ,DUVAL       ,44.9497229737
90,19,1399,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,DUVAL CHARTER SCHOOL AT WESTSIDE                                                                    ,DUVAL       ,48.0738534955
91,42,1379,elementary,THE ONE ROOM SCHOOL HOUSE PROJECT                                                                   ,ALACHUA     ,ENTERPRISE LEARNING ACADEMY                                                                         ,DUVAL       ,45.6421563045
92,42,1356,elementary,THE ONE ROOM SCHOOL HOUSE PROJECT                                                                   ,ALACHUA     ,CHIMNEY LAKES ELEMENTARY SCHOOL                                                                     ,DUVAL       ,46.1518812276
93,42,1360,elementary,THE ONE ROOM SCHOOL HOUSE PROJECT                                                                   ,ALACHUA     ,MAMIE AGNES JONES ELEMENTARY SCHOOL                                                                 ,DUVAL       ,46.864902681800004
94,47,1360,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,MAMIE AGNES JONES ELEMENTARY SCHOOL                                                                 ,DUVAL       ,44.7251818459
95,47,1379,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,ENTERPRISE LEARNING ACADEMY                                                                         ,DUVAL       ,46.8758947944
96,47,1356,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,CHIMNEY LAKES ELEMENTARY SCHOOL                                                                     ,DUVAL       ,47.6342407559
97,18,1243,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,BALDWIN MIDDLE-SENIOR HIGH SCHOOL                                                                   ,DUVAL       ,47.3150563052
98,24,1243,high,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,BALDWIN MIDDLE-SENIOR HIGH SCHOOL                                                                   ,DUVAL       ,48.300169737
99,24,1393,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,WESTVIEW K-8                                                                                        ,DUVAL       ,49.6309347783
100,24,1399,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,DUVAL CHARTER SCHOOL AT WESTSIDE                                                                    ,DUVAL       ,49.793319500600006
101,52,1393,middle,ALACHUA LEARNING ACADEMY MIDDLE                                                                     ,ALACHUA     ,WESTVIEW K-8                                                                                        ,DUVAL       ,48.944438715
102,52,1399,middle,ALACHUA LEARNING ACADEMY MIDDLE                                                                     ,ALACHUA     ,DUVAL CHARTER SCHOOL AT WESTSIDE                                                                    ,DUVAL       ,49.385949374
103,14,1504,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,TRENTON ELEMENTARY SCHOOL                                                                           ,GILCHRIST   ,18.146718011199997
104,14,1503,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,BELL ELEMENTARY SCHOOL                                                                              ,GILCHRIST   ,25.6090185829
105,27,1503,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,BELL ELEMENTARY SCHOOL                                                                              ,GILCHRIST   ,16.9220048522
106,27,1504,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,TRENTON ELEMENTARY SCHOOL                                                                           ,GILCHRIST   ,19.9015999375
107,36,1504,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,TRENTON ELEMENTARY SCHOOL                                                                           ,GILCHRIST   ,11.5974510999
108,36,1503,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,BELL ELEMENTARY SCHOOL                                                                              ,GILCHRIST   ,16.5351085145
109,17,1501,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,TRENTON HIGH SCHOOL                                                                                 ,GILCHRIST   ,12.5512009894
110,17,1502,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,BELL HIGH SCHOOL                                                                                    ,GILCHRIST   ,16.5015855173
111,18,1502,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,BELL HIGH SCHOOL                                                                                    ,GILCHRIST   ,20.486086833599998
112,18,1501,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,TRENTON HIGH SCHOOL                                                                                 ,GILCHRIST   ,22.0678361115
113,13,1925,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,LAFAYETTE ELEMENTARY SCHOOL                                                                         ,LAFAYETTE   ,44.107698723999995
114,27,1925,elementary,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,LAFAYETTE ELEMENTARY SCHOOL                                                                         ,LAFAYETTE   ,37.6395251212
115,36,1925,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,LAFAYETTE ELEMENTARY SCHOOL                                                                         ,LAFAYETTE   ,43.8254397241
116,17,1924,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,LAFAYETTE HIGH SCHOOL                                                                               ,LAFAYETTE   ,43.6590418049
117,18,1924,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,LAFAYETTE HIGH SCHOOL                                                                               ,LAFAYETTE   ,42.2012010198
118,19,1937,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL                                                         ,LAKE        ,46.695753315699996
119,43,1937,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL                                                         ,LAKE        ,45.0407811145
120,43,1935,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,FRUITLAND PARK ELEMENTARY SCHOOL                                                                    ,LAKE        ,49.946101121800005
121,14,2151,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,BRONSON ELEMENTARY SCHOOL                                                                           ,LEVY        ,7.572407881980001
122,14,2147,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,JOYCE M. BULLOCK ELEMENTARY SCHOOL                                                                  ,LEVY        ,10.1812011355
123,14,2149,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,WILLISTON ELEMENTARY SCHOOL                                                                         ,LEVY        ,10.9499923206
124,36,2151,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,BRONSON ELEMENTARY SCHOOL                                                                           ,LEVY        ,12.169705343599999
125,36,2144,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,WHISPERING WINDS CHARTER SCHOOL                                                                     ,LEVY        ,18.347202935
126,36,2150,elementary,NEWBERRY ELEMENTARY SCHOOL                                                                          ,ALACHUA     ,CHIEFLAND ELEMENTARY SCHOOL                                                                         ,LEVY        ,18.895389276099998
127,43,2147,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,JOYCE M. BULLOCK ELEMENTARY SCHOOL                                                                  ,LEVY        ,12.750164099200001
128,43,2149,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,WILLISTON ELEMENTARY SCHOOL                                                                         ,LEVY        ,13.002472499400001
129,43,2151,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,BRONSON ELEMENTARY SCHOOL                                                                           ,LEVY        ,20.6538832924
130,17,2141,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,BRONSON MIDDLE/HIGH SCHOOL                                                                          ,LEVY        ,12.2594048863
131,17,2143,high,NEWBERRY HIGH SCHOOL                                                                                ,ALACHUA     ,CHIEFLAND MIDDLE HIGH SCHOOL                                                                        ,LEVY        ,18.4561367348
132,48,2146,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,WILLISTON MIDDLE HIGH SCHOOL                                                                        ,LEVY        ,13.6671893528
133,48,2141,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,BRONSON MIDDLE/HIGH SCHOOL                                                                          ,LEVY        ,20.7233244049
134,27,2145,middle,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,ALACHUA     ,NATURE COAST MIDDLE SCHOOL                                                                          ,LEVY        ,27.3421110277
135,40,2145,middle,OAK VIEW MIDDLE SCHOOL                                                                              ,ALACHUA     ,NATURE COAST MIDDLE SCHOOL                                                                          ,LEVY        ,18.3192596861
136,40,2148,middle,OAK VIEW MIDDLE SCHOOL                                                                              ,ALACHUA     ,YANKEETOWN SCHOOL                                                                                   ,LEVY        ,41.4999696757
137,19,2287,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,MCINTOSH AREA SCHOOL                                                                                ,MARION      ,12.962309665
138,19,2263,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,FORT MCCOY SCHOOL                                                                                   ,MARION      ,16.113119634500002
139,19,2240,elementary,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,ALACHUA     ,REDDICK-COLLIER ELEMENTARY SCHOOL                                                                   ,MARION      ,16.8885527178
140,43,2287,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,MCINTOSH AREA SCHOOL                                                                                ,MARION      ,5.67467157065
141,43,2240,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,REDDICK-COLLIER ELEMENTARY SCHOOL                                                                   ,MARION      ,10.881419433900001
142,43,2254,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,SPARR ELEMENTARY SCHOOL                                                                             ,MARION      ,15.4191217609
143,46,2287,elementary,EXPRESSIONS LEARNING ARTS ACADEMY                                                                   ,ALACHUA     ,MCINTOSH AREA SCHOOL                                                                                ,MARION      ,12.933154377200001
144,46,2240,elementary,EXPRESSIONS LEARNING ARTS ACADEMY                                                                   ,ALACHUA     ,REDDICK-COLLIER ELEMENTARY SCHOOL                                                                   ,MARION      ,18.308874504600002
145,46,2254,elementary,EXPRESSIONS LEARNING ARTS ACADEMY                                                                   ,ALACHUA     ,SPARR ELEMENTARY SCHOOL                                                                             ,MARION      ,22.6363587107
146,15,2250,high,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,ALACHUA     ,NORTH MARION HIGH SCHOOL                                                                            ,MARION      ,17.4914722126
147,15,2258,high,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,ALACHUA     ,VANGUARD HIGH SCHOOL                                                                                ,MARION      ,25.850283924499998
148,48,2250,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,NORTH MARION HIGH SCHOOL                                                                            ,MARION      ,14.7124316843
149,48,2258,high,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,VANGUARD HIGH SCHOOL                                                                                ,MARION      ,22.076305801700002
150,9,2260,middle,ABRAHAM LINCOLN MIDDLE SCHOOL                                                                       ,ALACHUA     ,NORTH MARION MIDDLE SCHOOL                                                                          ,MARION      ,23.0557930205
151,9,2263,middle,ABRAHAM LINCOLN MIDDLE SCHOOL                                                                       ,ALACHUA     ,FORT MCCOY SCHOOL                                                                                   ,MARION      ,27.0376935133
152,48,2260,middle,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,NORTH MARION MIDDLE SCHOOL                                                                          ,MARION      ,14.358017885299999
153,48,2236,middle,MICANOPY  ACADEMY                                                                                   ,ALACHUA     ,HOWARD MIDDLE SCHOOL                                                                                ,MARION      ,22.9613114938
